fecha,cod_ine,CCAA,total,tipo
2020-04-07,15,Navarra,202,fallecidos
2020-04-08,15,Navarra,206,fallecidos
2020-04-09,15,Navarra,214,fallecidos
2020-04-10,15,Navarra,218,fallecidos
2020-04-11,15,Navarra,227,fallecidos
2020-04-12,15,Navarra,232,fallecidos
2020-04-13,15,Navarra,239,fallecidos
2020-04-14,15,Navarra,249,fallecidos
2020-04-15,15,Navarra,252,fallecidos
2020-03-03,16,País Vasco,0,fallecidos
2020-03-04,16,País Vasco,0,fallecidos
2020-03-05,16,País Vasco,1,fallecidos
2020-03-06,16,País Vasco,1,fallecidos
2020-03-07,16,País Vasco,1,fallecidos
2020-03-08,16,País Vasco,5,fallecidos
2020-03-09,16,País Vasco,5,fallecidos
2020-03-10,16,País Vasco,6,fallecidos
2020-03-11,16,País Vasco,6,fallecidos
2020-03-12,16,País Vasco,11,fallecidos
2020-03-13,16,País Vasco,14,fallecidos
2020-03-14,16,País Vasco,14,fallecidos
2020-03-15,16,País Vasco,23,fallecidos
2020-03-16,16,País Vasco,23,fallecidos
2020-03-17,16,País Vasco,36,fallecidos
2020-03-18,16,País Vasco,40,fallecidos
2020-03-19,16,País Vasco,53,fallecidos
2020-03-20,16,País Vasco,71,fallecidos
2020-03-21,16,País Vasco,85,fallecidos
2020-03-22,16,País Vasco,97,fallecidos
2020-03-23,16,País Vasco,120,fallecidos
2020-03-24,16,País Vasco,133,fallecidos
2020-03-25,16,País Vasco,155,fallecidos
2020-03-26,16,País Vasco,180,fallecidos
2020-03-27,16,País Vasco,207,fallecidos
2020-03-28,16,País Vasco,221,fallecidos
2020-03-29,16,País Vasco,265,fallecidos
2020-03-30,16,País Vasco,297,fallecidos
2020-03-31,16,País Vasco,325,fallecidos
2020-04-01,16,País Vasco,369,fallecidos
2020-04-02,16,País Vasco,412,fallecidos
2020-04-03,16,País Vasco,444,fallecidos
2020-04-04,16,País Vasco,477,fallecidos
2020-04-05,16,País Vasco,515,fallecidos
2020-04-06,16,País Vasco,548,fallecidos
2020-04-07,16,País Vasco,586,fallecidos
2020-04-08,16,País Vasco,635,fallecidos
2020-04-09,16,País Vasco,689,fallecidos
2020-04-10,16,País Vasco,729,fallecidos
2020-04-11,16,País Vasco,765,fallecidos
2020-04-12,16,País Vasco,804,fallecidos
2020-04-13,16,País Vasco,831,fallecidos
2020-04-14,16,País Vasco,859,fallecidos
2020-04-15,16,País Vasco,902,fallecidos
2020-03-03,17,La Rioja,0,fallecidos
2020-03-04,17,La Rioja,0,fallecidos
2020-03-05,17,La Rioja,0,fallecidos
2020-03-06,17,La Rioja,0,fallecidos
2020-03-07,17,La Rioja,0,fallecidos
2020-03-08,17,La Rioja,0,fallecidos
2020-03-09,17,La Rioja,0,fallecidos
2020-03-10,17,La Rioja,1,fallecidos
2020-03-11,17,La Rioja,2,fallecidos
2020-03-12,17,La Rioja,2,fallecidos
2020-03-13,17,La Rioja,2,fallecidos
2020-03-14,17,La Rioja,3,fallecidos
2020-03-15,17,La Rioja,3,fallecidos
2020-03-16,17,La Rioja,4,fallecidos
2020-03-17,17,La Rioja,5,fallecidos
2020-03-18,17,La Rioja,5,fallecidos
2020-03-19,17,La Rioja,5,fallecidos
2020-03-20,17,La Rioja,7,fallecidos
2020-03-21,17,La Rioja,15,fallecidos
2020-03-22,17,La Rioja,18,fallecidos
2020-03-23,17,La Rioja,22,fallecidos
2020-03-24,17,La Rioja,30,fallecidos
2020-03-25,17,La Rioja,37,fallecidos
2020-03-26,17,La Rioja,43,fallecidos
2020-03-27,17,La Rioja,55,fallecidos
2020-03-28,17,La Rioja,65,fallecidos
2020-03-29,17,La Rioja,68,fallecidos
2020-03-30,17,La Rioja,71,fallecidos
2020-03-31,17,La Rioja,85,fallecidos
2020-04-01,17,La Rioja,90,fallecidos
2020-04-02,17,La Rioja,101,fallecidos
2020-04-03,17,La Rioja,109,fallecidos
2020-04-04,17,La Rioja,128,fallecidos
2020-04-05,17,La Rioja,134,fallecidos
2020-04-06,17,La Rioja,141,fallecidos
2020-04-07,17,La Rioja,160,fallecidos
2020-04-08,17,La Rioja,177,fallecidos
2020-04-09,17,La Rioja,182,fallecidos
2020-04-10,17,La Rioja,196,fallecidos
2020-04-11,17,La Rioja,207,fallecidos
2020-04-12,17,La Rioja,219,fallecidos
2020-04-13,17,La Rioja,223,fallecidos
2020-04-14,17,La Rioja,234,fallecidos
2020-04-15,17,La Rioja,246,fallecidos
2020-03-03,00,Total,0,fallecidos
2020-03-04,00,Total,1,fallecidos
2020-03-05,00,Total,3,fallecidos
2020-03-06,00,Total,5,fallecidos
2020-03-07,00,Total,8,fallecidos
2020-03-08,00,Total,17,fallecidos
2020-03-09,00,Total,17,fallecidos
2020-03-10,00,Total,35,fallecidos
2020-03-11,00,Total,47,fallecidos
2020-03-12,00,Total,84,fallecidos
2020-03-13,00,Total,120,fallecidos
2020-03-14,00,Total,136,fallecidos
2020-03-15,00,Total,288,fallecidos
2020-03-16,00,Total,309,fallecidos
2020-03-17,00,Total,491,fallecidos
2020-03-18,00,Total,598,fallecidos
2020-03-19,00,Total,767,fallecidos
2020-03-20,00,Total,1002,fallecidos
2020-03-21,00,Total,1326,fallecidos
2020-03-22,00,Total,1720,fallecidos
2020-03-23,00,Total,2182,fallecidos
2020-03-24,00,Total,2696,fallecidos
2020-03-25,00,Total,3434,fallecidos
2020-03-26,00,Total,4089,fallecidos
2020-03-27,00,Total,4858,fallecidos
2020-03-28,00,Total,5690,fallecidos
2020-03-29,00,Total,6528,fallecidos
2020-03-30,00,Total,7340,fallecidos
2020-03-31,00,Total,8189,fallecidos
2020-04-01,00,Total,9053,fallecidos
2020-04-02,00,Total,10003,fallecidos
2020-04-03,00,Total,10935,fallecidos
2020-04-04,00,Total,11744,fallecidos
2020-04-05,00,Total,12418,fallecidos
2020-04-06,00,Total,13055,fallecidos
2020-04-07,00,Total,13798,fallecidos
2020-04-08,00,Total,14555,fallecidos
